experiment,shape_family,hidden_dims,parameter_count,regime,scheme,n_classes,actual_classes,accuracy,knn_layer,knn_reference_layer,knn_k,knn_knn_preservation,dist_layer,dist_reference_layer,dist_distance_correlation,pca_layer,pca_n_features,pca_components_90,pca_components_95,pca_components_99,pca_first_pc_variance,pca_first_2pc_variance,pca_first_3pc_variance,arc_parameter_r2,name,world,allocation,template,target_params,relative_error,seed,epochs,n_samples,config_epochs,config_n_samples,config_noise_std,config_quick
spiral_arc_bins_32_front_loaded_params_1000_seed_1,,"(32, 16, 8)",1048,spiral,arc_bins,32,32,0.9763333333333334,logits,input,10,0.9269333333333334,logits,input,0.7130010375196735,logits,32,2,2,4,0.5747300982475281,0.9565348029136658,0.9845516085624695,0.9359761284377303,spiral_arc_bins_32_front_loaded_params_1000_seed_1,spiral,front_loaded,"(4, 2, 1)",1000,0.048,1,100,3000,100,3000,0.02,False
spiral_arc_bins_32_uniform_params_1000_seed_1,,"(15, 15, 15)",1037,spiral,arc_bins,32,32,0.9746666666666667,logits,input,10,0.9512666666666667,logits,input,0.8882403748817679,logits,32,2,3,4,0.5988874435424805,0.9208415746688843,0.9857445955276489,0.9879474225575761,spiral_arc_bins_32_uniform_params_1000_seed_1,spiral,uniform,"(1, 1, 1)",1000,0.037,1,100,3000,100,3000,0.02,False
spiral_arc_bins_32_back_loaded_params_1000_seed_1,,"(5, 10, 20)",967,spiral,arc_bins,32,32,0.972,logits,input,10,0.9435333333333334,logits,input,0.8473431700424899,logits,32,2,3,3,0.6768242716789246,0.928481936454773,0.9926995038986206,0.9802758299777643,spiral_arc_bins_32_back_loaded_params_1000_seed_1,spiral,back_loaded,"(1, 2, 4)",1000,0.033,1,100,3000,100,3000,0.02,False
spiral_arc_bins_32_front_loaded_params_1000_seed_2,,"(32, 16, 8)",1048,spiral,arc_bins,32,32,0.972,logits,input,10,0.9688,logits,input,0.9184021223533034,logits,32,2,3,3,0.5623525381088257,0.9200429916381836,0.9930252432823181,0.9538286572796112,spiral_arc_bins_32_front_loaded_params_1000_seed_2,spiral,front_loaded,"(4, 2, 1)",1000,0.048,2,100,3000,100,3000,0.02,False
spiral_arc_bins_32_uniform_params_1000_seed_2,,"(15, 15, 15)",1037,spiral,arc_bins,32,32,0.975,logits,input,10,0.9581333333333334,logits,input,0.8887609471998288,logits,32,2,3,4,0.6184855699539185,0.9483065605163574,0.9869024157524109,0.9904417803481631,spiral_arc_bins_32_uniform_params_1000_seed_2,spiral,uniform,"(1, 1, 1)",1000,0.037,2,100,3000,100,3000,0.02,False
spiral_arc_bins_32_back_loaded_params_1000_seed_2,,"(5, 10, 20)",967,spiral,arc_bins,32,32,0.9766666666666667,logits,input,10,0.9460666666666667,logits,input,0.8716947565437442,logits,32,2,2,3,0.7087485194206238,0.9838374257087708,0.9977657794952393,0.9714427657638477,spiral_arc_bins_32_back_loaded_params_1000_seed_2,spiral,back_loaded,"(1, 2, 4)",1000,0.033,2,100,3000,100,3000,0.02,False
spiral_arc_bins_32_front_loaded_params_1000_seed_3,,"(32, 16, 8)",1048,spiral,arc_bins,32,32,0.975,logits,input,10,0.9439333333333334,logits,input,0.9292260356333005,logits,32,2,3,4,0.5461921095848083,0.9371209740638733,0.9838497042655945,0.9775915705660712,spiral_arc_bins_32_front_loaded_params_1000_seed_3,spiral,front_loaded,"(4, 2, 1)",1000,0.048,3,100,3000,100,3000,0.02,False
spiral_arc_bins_32_uniform_params_1000_seed_3,,"(15, 15, 15)",1037,spiral,arc_bins,32,32,0.9736666666666667,logits,input,10,0.9392666666666667,logits,input,0.8721015586898031,logits,32,2,3,4,0.5652104020118713,0.9186869859695435,0.982913076877594,0.9896392178307817,spiral_arc_bins_32_uniform_params_1000_seed_3,spiral,uniform,"(1, 1, 1)",1000,0.037,3,100,3000,100,3000,0.02,False
spiral_arc_bins_32_back_loaded_params_1000_seed_3,,"(5, 10, 20)",967,spiral,arc_bins,32,32,0.978,logits,input,10,0.9145,logits,input,0.8397868426501548,logits,32,3,3,3,0.556060254573822,0.813788115978241,0.9944956302642822,0.9785704173948507,spiral_arc_bins_32_back_loaded_params_1000_seed_3,spiral,back_loaded,"(1, 2, 4)",1000,0.033,3,100,3000,100,3000,0.02,False
spiral_arc_bins_32_front_loaded_params_1000_seed_4,,"(32, 16, 8)",1048,spiral,arc_bins,32,32,0.964,logits,input,10,0.9624666666666667,logits,input,0.9123046927339856,logits,32,2,2,3,0.685032844543457,0.9688319563865662,0.9911007881164551,0.9229688364116557,spiral_arc_bins_32_front_loaded_params_1000_seed_4,spiral,front_loaded,"(4, 2, 1)",1000,0.048,4,100,3000,100,3000,0.02,False
spiral_arc_bins_32_uniform_params_1000_seed_4,,"(15, 15, 15)",1037,spiral,arc_bins,32,32,0.968,logits,input,10,0.9501666666666668,logits,input,0.915890165967552,logits,32,2,3,4,0.6088721752166748,0.942296028137207,0.9884820580482483,0.9685306496526989,spiral_arc_bins_32_uniform_params_1000_seed_4,spiral,uniform,"(1, 1, 1)",1000,0.037,4,100,3000,100,3000,0.02,False
